uniqueId,nickname,id,chatted
caothetrung,CaoTheTrung,7131010373042717698,true
user1710199x,Nhi nè,6853264685011174401,true
l.vng533,Lá Vàng,7304744832860341256,true
chaoanhemnha012,Quảng Ngãi Chào bạn 246810,7087152810589242369,true
userphanlay,phanlay,6957242403586655237,true
uvcghhvvvjjn,𝑇𝙤𝙖𝙉🍁,7248630905308464134,true
nguyen.hoang2588,Nguyen Hoang,7538012737311687697,true
.l33092,Đủ Lê,7355845094131827717,true
cuoihoitraucau746,cuoihoitraucau746,6724944725033468929,true
hanhngoc02,ngọc Sophia,7134878864609723393,true
skya178,@SKY-angel🦋🦋🍁,7508848301119144961,true
chuyenso5,So Chuyện TN 05,7403187706303742982,false
ngoctuyen060979,Ngọc Tuyền,7296011225274532869,false
user3064610604939,Thienchanel,6948054977765000193,false
b.m.gi7,Bà Má Già,7389299093859009542,false
user370530437,linhan2013,7270057447631422470,false
trongnguyen4383,trongnguyen88,7504176707117597703,false
sang.nguyn1772,Sang Nguyễn,7202817469932176410,false
hiep.suri8,Hiệp suri,6869741637838636034,false
dngthanhtnh1,dngthanhtnh1,7205205998355710978,false
kimnganctdtst,Ngân Hà,7057754462802494466,false
user6906115518417,clau nộp,7498959293565502472,false
eky2927,eky,7384366001259037712,false
vanlo206,vanlo206,7102344066076066817,false
thanh.lam509,Đỗ MSA đổi tên 🍀❤️,7205872816741467141,false
divinaakho1984,Delta Quebec Tango,6902939741680043010,false
casselabec974,casse la bec,7440890480428352544,false
fat0593,Fat,7265023433715500065,false
taitoilien,taitoilien,6920809320632402945,false
thohong_1976,Nguyễn Trường Thọ 8747,7078151914991535105,false
ngoctienmog86,Nguyễn Ngọc Tiến,7511869599429706770,false
nguyn.lc.hnh,Nguyễn Lộc Hạnh,7071617394405999617,false
trinhtrinhnguy986,☘️An Nhiên 986☘️🇻🇳,7084806565224317954,false
vinhtien058,VinhTien,7160677428482065410,false
lphan755,nãy 💔 tưởng 💔Baka 🥰🥰💔🥰😍,7491609632961627143,false
nguyn.ngoc.tramu,Nguyễn Ngoc Tram(u mê t nghĩa),7381766275474031622,false
nguynphm8391,Nguyên,7403039204051141649,false
ng.thu.huong,Thu Hương Ngô,7323950657035453447,false
con.th.5.trong.nh,Dugzn🥑(Thuỳ Dương),7534720929617085441,false
huyenmi0301,MiMiMiMi_0301,6795157420614157313,false
namnguyenthanh06,Nam Nguyen Thanh,6790037306827113473,false
dewi_aries17april,DEbong,7536564330486465543,false
trungbagacbd,trung ba gac bd,7423642160954147846,false
m.mypham79,bán hàng da dụng,7458119754042098695,false
hoangkem_sale,Bờ Ơ Bơ 🥑,7473407079286588437,false
thanhkiet869,thanh kiet 96,7099034957704037378,false
thu_yen0508,Thu Yến,6821349414466077697,false
phnhung2603,🌺 Hello 🌺,6517977777202970626,false
u.duyn.trn,âu Duyên Trần,6884371451161691138,false
ichnguyen561962,ichnguyen561962,6853242218120725506,false
ngc.dim8959,NGỌC DIỄM 🇯🇵🇯🇵,7506799198538744888,false
amadou.wagne.wagn1,Amadou wagne Wagne,7523717686230500385,false
user836770683,Thu Hiền,7484193268084900871,false
akissi.stphanie.k,Akissi Stéphanie Koissi,7333327140610819105,false
phat.di.phat.di.d,Phat Di phat Di Di phat,7469764170389832705,false
thanhthophng65,💫Đồng 💫Lê 💫,7498727927157867521,false
user5490283141433,marwan,7440534933662155808,false
coeur97410,🥰,7358100650628187168,false
annagimenez863,annagimenez863,7011892059095270406,false
annick974,user7948047113236,6822419565117604869,false
boubakarydiambo,boubakarydiambo,7309197884108096545,false
btibt00,NH Gấm,7111766242042708993,false
lecercledesamis,lecercledesamis,6975501604276569093,false
vanlinhbtre123,vanlinh_439,7126997770431104043,false
kristennguyen77,huong Nguyen,7336379023374156846,false
sergionardi8,Annamaria,7259772698715227163,false
bt69338,BT,7452568348846064662,false
joniesak,Nati,7222365805752157190,false
mounirmoi0,mounir,7024420927198954501,false
kolangovlog,Randy Poringuez,7458301108236420114,false
user5387500426194,Sam,6743907335024968709,false
cedric.r.minor,Cedric R Minor,7465701733571445761,false
robotsilliness,Robotsilliness,7495544228836377622,false
marjorieavezou,marjorieavezou,7104295816592786438,false
linhle5109,linhle5109,7271596770697413638,false
anis.mass7,Anis Mass,7527680936331559969,false
abdel.k10,abdel,7223674638939882501,false
user2305424617283,trần dương biển đảo,7503590950775620628,false
huynhtuyet992,🍀❤️🌼 Tuyết ơi!!♥️🌈🥰🍀🌼,6812619007032902657,false
diagouss.socit.lr4,Diagouss,7354738583096607777,false
thongdeptraivl1997,Nguyễn Hữu Thông,6586828732702277633,false
jsjsjnsjsj.gshssj,lĩnh lê,7422288989497525266,false
user49219818355280,777&777,7389553964146295840,false
jramiirez_13,.,6906916612612621314,false
userdhmntiklz9,Kiệt Nguyễn,7160145846423782427,false
funmy39,♡ Bé Lùn ♍,6964245098695820289,false
bonsai.hu.quang,Bonsai Huệ Quang,7506016899763848200,false
khanhhoa3878,KHÁNH HOÀ 3878,6878777697800111105,false
trn.phong727,Trần Phong,7491641924899062792,false
tracysbeautyandnailsalon,Tracysbeautyandnailsalon,6985968844280808453,false
ngc.hanh60,Ngọc hanh,6806680105944810498,false
hongthu812,Hong Thu,6690453000173405185,false
user1042325975440k,1234568907@gmail.com,6995529077461943298,false
hanhhuynh_2023,hanhhuynh_2023,6976866487328588801,false
angtoan4,đangtoan,7493199251855852552,false
quyettn159,Quyết Vũ,6740645672275788802,false
hi.nguyn.ch59,Hải Nguyễn chí,7373253523062375430,false
bch.thy948,Bích Thủy,7082246358657631233,false
hieunguyen6789007,Hiếu Nhà Đất,7081890401960281089,false
tvt25071993,Trường Te Tua 14,7070696706035303425,false
annguyenvu39,annguyenvu39,7368435442117313541,false
kimbinh000,trần kim bình,7232475341516047362,false
2212cubin1,Trọng nghĩa,6850431259223802882,false
hieuta386,Hieu Ta,7496373295735145493,false
namnguyenthanh463,Em cô đơn,7278527888176104450,false
nng.dn.th.c,user32333050712,7507564297549218833,false
ywer.mlo,lika,7505851681297859591,false
